Unnamed_1,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Levde_når_2,Levde_når_2_link,Når_komponert,Når_komponert_link,Diverse,Diverse_link,Diverse_2,Diverse_2_link,Dublett_,Forlag,Forlag_link,Nr_,Unnamed_13
,Den norske speiderpike,https://musescore.com/user/26911315/scores/22019095,"Kruge, Ragnhild",,,,,,,,,,,,,,,Eget forlag,,,
,Permissionsvalsen,https://musescore.com/user/26911315/scores/7438868,"Kräusel, Georg",,1882 - 1959,,?,,,,1916,,,,,,,,,,
,Berceuse,https://musescore.com/user/26911315/scores/24956044,"Krømer, Philip",,1905 - 1998,,"Obstfelder, Sigbjørn",https://no.wikipedia.org/wiki/Sigbj%C3%B8rn_Obstfelder,1866 - 1900,,1944,,,,,,,Norsk Musikforlag,,7425,
,September Song,,Kurt Weill,https://en.wikipedia.org/wiki/Kurt_Weill,1900 - 1950,,Maxwell Anderson,https://en.wikipedia.org/wiki/Maxwell_Anderson,1888 - 1959,,1929,,Omtale,https://sv.wikipedia.org/wiki/Tre_trallande_jäntor,,,,,,,
,En glad trall,https://musescore.com/user/26911315/scores/7465703,"Körling, Felix",https://sv.wikipedia.org/wiki/Felix_Körling,1864 - 1937,,Gustav Fröding,https://no.wikipedia.org/wiki/Gustaf_Fröding,1860 - 1911,,1905?,,,,,,,Edition Sylvain/Norsk Notestik & Forlag,,1835,
,Jeg kan det  ikke!,,"Lagerkrans, Karl Olof",https://sv.wikipedia.org/wiki/Karl_Olof_Lagerkrans,1903 - 1966,,"Teien, T.",,,,1936,,Pseudonym for Gustav Winckler,,,,,,,,
x,Hvide måge,https://musescore.com/user/26911315/scores/7018399,"Lance, Walther",https://denstoredanske.lex.dk/Gustav_Winckler,1925 - 1979,,Kim Holter,https://denstoredanske.lex.dk/Gustav_Winckler,1925 - 1979,,1957,,Pseudonym for Gustav Winckler,,,,,,,,
,Send en hilsen hjem med en bukett fioler,https://musescore.com/user/26911315/scores/7080500,"Lance, Walther",https://denstoredanske.lex.dk/Gustav_Winckler,1925 - 1979,,Kim Holter,https://denstoredanske.lex.dk/Gustav_Winckler,1925 - 1979,,1938,https://en.wikipedia.org/wiki/September_Song,,,,,,,,,
,En böljedans,https://musescore.com/user/26911315/scores/7012989,Landin - Granath - Winter,,,,,,,,1927,,,,,,,,,,
,Finnmarkspiken,https://musescore.com/user/26911315/scores/7015076,"Langbo, Kirsten",https://no.wikipedia.org/wiki/Kirsten_Langbo,1909 - 1996,,Georg Langbo,https://www.nb.no/items/5c0759489b53ad99a06304b5716f6ed3?page=1&searchText=%22Georg%20Langbo%22,1904 - 1961,,,,,,,,,Harld Lyche,,,
,Lillebror og mor,https://musescore.com/user/26911315/scores/7044883,"Langbo, Kirsten",https://no.wikipedia.org/wiki/Kirsten_Langbo,1909 - 1996,,"Langbo, Kirsten",https://no.wikipedia.org/wiki/Kirsten_Langbo,1909 - 1996,,,,,,,,,,,,
,Du fagre Trondhjem,,Lars F. B. Minsaas,https://no.wikipedia.org/wiki/Lars_Minsaas,1904 - 1986,,Konrad Sehm,,,,1929,,,,,,,,,,
,Verdalsangen,,Lars F. B. Minsaas,https://no.wikipedia.org/wiki/Lars_Minsaas,1904 - 1986,,Bjarne Slaapgard,https://no.wikipedia.org/wiki/Bjarne_Slapgard,1901 - 1997,,1939,,,,,,,,,,
,Det suser i skogene,https://musescore.com/user/26911315/scores/7012022,"Larsen, Georg",,,,Arne Paasche Aasen,https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,,,,,,,,Norsk Musikforlag,,6391,
,Se våren er kommet,https://musescore.com/user/26911315/scores/7080488,"Larsen, Georg",,,,"Torleif Larssen (""Tola"")",,1899 - 1967,https://www.nb.no/items/c4f6d78cfc0129ada986940485ae433a?page=11&searchText=%22Torleif%20Larssen%22,1935?,,2. premie i Norsk Musikforlag og Aftenpostens Slagerkonkurranse,,,,,Norsk Musikforlag,,7201,
,Stjerneskudd,https://musescore.com/user/26911315/scores/11400541,"Larsen, Georg",,,,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,1904 - 1958,,1937,,,,,,,Norsk Musikkforlag,,7244,
,Hu-la-lu-la-lei,https://musescore.com/user/26911315/scores/7096141,"Larsen, Harry",http://rogalyd.no/artist/harry-larsen-1912-1992,1912 - 1992,,Harry Larsen,http://rogalyd.no/artist/harry-larsen-1912-1992,1912 - 1992,,,,1 premie i Norsk Musikforlag og Aftenpostens Sommerkonkurranse,,,,,,,,
,Sommersangen,https://musescore.com/user/26911315/scores/7085707,"Larsen, Harry",http://rogalyd.no/artist/harry-larsen-1912-1992,1912 - 1992,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1936,,,,,,2,,,,
,Stjerneklar himmel,https://musescore.com/user/26911315/scores/7089974,"Larsen, Harry",http://rogalyd.no/artist/harry-larsen-1912-1992,1912 - 1992,,Lauritz Thorsen,,(1901 - ?),,1945,,"Fra filmen ""Hansen og Hansen""",https://no.wikipedia.org/wiki/Hansen_og_Hansen,,,,Johan Clemet,,,
,Te Quiero,https://musescore.com/user/26911315/scores/7097411,"Larsen, Jens",http://rogalyd.no/artist/jens-larsen-1910-2000,1910 - 2000,,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,,,Omtale,"https://no.wikipedia.org/wiki/Norge_i_rødt,_hvitt_og_blått",,,,,,,
,"Norge i rødt, hvitt og blått",https://musescore.com/user/26911315/scores/7401845,"Larsson, Lars-Erik",https://no.wikipedia.org/wiki/Lars-Erik_Larsson,1908 - 1986,,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,1940,,,,,,,,,,
,Vandrerens sang,https://musescore.com/user/26911315/scores/7097628,Leif Frydenlund & Herman Hermani,,,,Hermann Hermani,https://no.wikipedia.org/wiki/Herman_Hermani,1898 - 1960,,,,,,,,,,,,
,Godnatt,,Leif Halvorsen,https://no.wikipedia.org/wiki/Leif_Halvorsen,1887 - 1959,,Rolf Hiorth Schøyen,https://no.wikipedia.org/wiki/Rolf_Hiorth-Schøyen,1887 - 1932,,1929,,,,,,,,,,
,Kjærlighetens gamle sang,https://musescore.com/user/26911315/scores/7035885,"Lemkow, Jack",https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,,,Peter Magnus,,,,,,,,,,,Carl M. Iversen,,350,
,Møllerens Irene,https://musescore.com/user/26911315/scores/7045205,Leon Landgren & Ake Gerhard,https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1954,,,,,,,,,,
,Under morgenstjernen,https://musescore.com/user/26911315/scores/22655059,"Leondardo, T.",,,,"Høvre, Rolf (Rolf Jacobsen)",https://no.wikipedia.org/wiki/Rolf_Jacobsen,1907 - 1994,,1931,,Pseudonymer både for kompoinst og tekstforfatter,,,,,Norsk Musikforlag,,6567,
,Jeg drømmer mig tilbake,https://musescore.com/user/26911315/scores/7026204,"Levin, Robert",https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,,,Victor Louis,,,,,,,,,,,Ernst Rolfs Musikforlag,,1692,
,Den har han med sig hvor han går,https://musescore.com/user/26911315/scores/22849267,"Lindberg, Helge",https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,1898 - 1973,,"Carlmar, Otto",https://no.wikipedia.org/wiki/Otto_Carlmar,1902 - 1987,,1929,,,,,,,,,,
,Niagara,https://musescore.com/user/26911315/scores/7045233,"Lindberg, Helge",https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,1898 - 1973,,Gösta Stevens,https://no.wikipedia.org/wiki/Gösta_Stevens,1897 - 1964,,1928,,,,,,,Ernst Rolf,,1733,
,Prinsessan Märthas vals,https://musescore.com/user/26911315/scores/7057627,"Lindberg, Helge",https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,1898 - 1973,,Gösta Stevens,https://no.wikipedia.org/wiki/Gösta_Stevens,1897 - 1964,,1932,,,,,,,,,,
,En kärleksnatt i Barcelona,https://musescore.com/user/26911315/scores/7013075,"Lindberg, Helge",https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,1898 - 1973,,Nils-Georg (Georg Eliasson),https://sv.wikipedia.org/wiki/Georg_Eliasson,1905 - 1973,,1929,,Publisert med norsk tekst i 1925?,,,,,,,,
,Nycklehålet,https://musescore.com/user/26911315/scores/7386584,"Lindberg, Helge",https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,1898 - 1973,,Karl-Ewert Christenson,https://sv.wikipedia.org/wiki/Karl-Ewert_Christenson,1888 - 1965,,<1926,,,,,,,,,,
,Prinsessan Astrids bröllopsvals,https://musescore.com/user/26911315/scores/17977234,"Lindberg, Helge",https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,1898 - 1973,,S. S. Wilson (Anita Halldén),https://sv.wikipedia.org/wiki/Anita_Halldén,1878 - 1970,,1926,,,,,,,,,,
,Dansende skygger,https://musescore.com/user/26911315/scores/10650091,"Lindboe Nordtømme, Helge",https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,1906 - 1980,,"Torleif Larssen (""Tola"")",,1899 - 1967,https://www.nb.no/items/c4f6d78cfc0129ada986940485ae433a?page=11&searchText=%22Torleif%20Larssen%22,1945,,,,,,,,,,
,Stemning,https://musescore.com/user/26911315/scores/7089963,"Lindboe Nordtømme, Helge",https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,1906 - 1980,,"Torleif Larssen (""Tola"")",,1899 - 1967,https://www.nb.no/items/c4f6d78cfc0129ada986940485ae433a?page=11&searchText=%22Torleif%20Larssen%22,1949,,(Alias Hellinor),,,,,,,,
,Vårsang,https://musescore.com/user/26911315/scores/7103062,"Lindboe Nordtømme, Helge",https://no.wikipedia.org/wiki/Jolly_Kramer-Johansen,1906 - 1980,,"Lindboe Nordtømme, Helge",,1906 - 1980,,1945,,,,,,,,,,
,La Vie en rose,,Louis  Guglielmi,https://en.wikipedia.org/wiki/Louiguy,1916 - 1991,,Edith Piaf,https://no.wikipedia.org/wiki/Édith_Piaf,1915 - 1963,,,,,,,,,,,,
,En mann,https://musescore.com/user/26911315/scores/7015008,"Ludt, Finn",https://no.wikipedia.org/wiki/Finn_Ludt,1918 - 1992,,Barthold Halle,https://no.wikipedia.org/wiki/Barthold_Halle,1925 -,,1951,,,,,,,Norks Musikkforlag,,7240,
,"Gråt ikke mer, lille pike",https://musescore.com/user/26911315/scores/21088195,"Ludt, Finn",https://no.wikipedia.org/wiki/Finn_Ludt,1918 - 1992,,Finn Ludt,https://no.wikipedia.org/wiki/Finn_Ludt,1918 - 1992,,1941,,,,,,,,,,
,Hildringstimen,,"Ludt, Finn",https://no.wikipedia.org/wiki/Finn_Ludt,1918 - 1992,,Erik Bye,https://no.wikipedia.org/wiki/Erik_Bye,,,,,,,,,,,,,
,Led meg,https://musescore.com/user/26911315/scores/7044778,"Ludt, Finn",https://no.wikipedia.org/wiki/Finn_Ludt,1918 - 1992,,Finn Ludt,https://no.wikipedia.org/wiki/Finn_Ludt,1918 - 1992,,1951,,,,,,,Norsk Musikforlag,,7297a,
,Flickorna i Småland,https://musescore.com/user/26911315/scores/24922453,"Lundberg, Fridolf",https://sv.wikipedia.org/wiki/Fridolf_Lundberg,1867 - 1924,,"Williams, Karl",https://sv.wikipedia.org/wiki/Karl_Williams,1881 - 1947,,1912,,Note fra 1945. Omtale,https://sv.wikipedia.org/wiki/Flickorna_i_Sm%C3%A5land,,,,Nordiska Musikförlaget,,1847,
,Skumringsstillhet,https://musescore.com/user/26911315/scores/7638626,"Mackenzie, Laurie",https://www.nb.no/items/825b8023b8e7192576d49e3969a3c30d?page=0&searchText=%22Christian%20schjørn%22%20mackenzie,1902 - 1962,,"Torleif Larssen (""Tola"")",,1899 - 1967,https://www.nb.no/items/c4f6d78cfc0129ada986940485ae433a?page=11&searchText=%22Torleif%20Larssen%22,1943-44,,,,,,,Norsk Musikforlag,,7297b,
,Flyvende Fugl,https://musescore.com/user/26911315/scores/7637408,"Mackenzie, Laurie",https://www.nb.no/items/825b8023b8e7192576d49e3969a3c30d?page=0&searchText=%22Christian%20schjørn%22%20mackenzie,1902 - 1962,,"Torleif Larssen (""Tola"")",,1899 - 1967,https://www.nb.no/items/c4f6d78cfc0129ada986940485ae433a?page=11&searchText=%22Torleif%20Larssen%22,1943-44,,,,,,,,,,
,Et lys i ditt vindu,https://musescore.com/user/26911315/scores/7015046,"Mackenzie, Laurie",https://www.nb.no/items/825b8023b8e7192576d49e3969a3c30d?page=0&searchText=%22Christian%20schjørn%22%20mackenzie,1902 - 1962,,"Mackenzie, Laurie",https://www.nb.no/items/825b8023b8e7192576d49e3969a3c30d?page=0&searchText=%22Christian%20schjørn%22%20mackenzie,1902 - 1962,,,,,,,,,,,,
x,The Backstairs to Heaven,https://musescore.com/user/26911315/scores/7097437,"Mackenzie, Laurie",https://www.nb.no/items/825b8023b8e7192576d49e3969a3c30d?page=0&searchText=%22Christian%20schjørn%22%20mackenzie,1902 - 1962,,"Mackenzie, Laurie",https://www.nb.no/items/825b8023b8e7192576d49e3969a3c30d?page=0&searchText=%22Christian%20schjørn%22%20mackenzie,1902 - 1962,,1935,,Teddy-reklame,,,,,Bartnes forlag,,,
,Teddy,https://musescore.com/user/26911315/scores/7097450,"Madsen, Hans Sverre",https://ancestors.familysearch.org/en/L5D7-WXW/hans-sverre-madsen-1901-1972,1901 - 1972,,,,,,,,1 premie 1937 Musikernes slagerkonkurance.,,,,,,,,
,Sommeren er kommet,https://musescore.com/user/26911315/scores/7083891,"Madsen, Håkon",https://www.nb.no/items/8128b8c51ce94690a294d502edd0e7d8?page=19&searchText=%22Håkon%20Madsen%22,1914 - 1996,,Dorian Red (Arne Paasche Aasen),https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,,,,,,,,,,,
,Fjøsnissen,https://musescore.com/user/26911315/scores/7015084,"Magnor, Reidar",,,,Petter Løkke (Luvån),,1897 - 1960,,1937,,,,,,,,,,
,Fra uret til Grand,https://musescore.com/user/26911315/scores/7015102,"Magnus, Peter",,,,"Magnus, Peter",,,,1943,,,,,,,,,,
,Styrmans-valsen,https://musescore.com/user/26911315/scores/7089986,"Marcusson, Helmuth",,? - 1915,,Nalle (Björn Gustaf) Halldén,https://sv.wikipedia.org/wiki/Björn_Halldén,1862 - 1935,,1928,,,,,,,,,,
,Tulipaner,https://musescore.com/user/26911315/scores/7097496,"Mathiesen, Halvdan",,1899 - 1970,,Arne Paasche Aasen,https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,,,,,,,,Norsk Musikforlag,,7294,
,"Å Marie, jeg vil hjem",https://musescore.com/user/26911315/scores/7707899,"Mel Tillis
Marijon Wilkin",,"1932 - 2017
1920 - 2006",,"Bøyesen, Carl Christian ",https://www.rockipedia.no/artister/carl_christian_boyesen-13501/,1917 - 1999,,1959,,,,,,,Harmoniforlaget,,,
,Gamle Svarten,https://musescore.com/user/26911315/scores/7272014,"Michael Carr
Joseph Hamilton Kennedy",,"1905 - 1968
",,"Sandberg, Sven-Olof",https://no.wikipedia.org/wiki/Sven-Olof_Sandberg,1905 - 1974,,1934,,Gamle Svarten,https://no.wikipedia.org/wiki/Gamle_Svarten,,,,,,,
,Lykkens have,https://musescore.com/user/26911315/scores/7044940,Minsaas (Lars) Fredrik Bjørn,https://no.wikipedia.org/wiki/Lars_Minsaas,1904 - 1986,,Arne Paasche Aasen,https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,1936,,"2 premie Bartnes: ""Sommerens melodier""",,,,,Bartnes forlag,,18,
,Amoriner,https://musescore.com/user/26911315/scores/6997735,"Minsaas, Lars F. B. (Fred Bjönner)",https://no.wikipedia.org/wiki/Lars_Minsaas,1904 - 1986,,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,1929,,2 premie Norsk Notestik & Forlag,,,,,Norsk Notestik & Forlag,,199,
,Nordlandsnetter,https://musescore.com/user/26911315/scores/7045270,"Moe, Bjarne",,1917 - 1978,,Sveinulv Jarnæs,,1920 - 1953,,1952,,,,,,,Oscar Skau,,375,
,De skal seile,https://musescore.com/user/26911315/scores/7078337,"Moe, Bjarne",,1917 - 1978,,Sveinulv Jarnæs,,1920 - 1953,,1953,,Tilegnet Redningsskøytene,,,,,Oscar Skau,,387,
,Uhm - Uhm,https://musescore.com/user/26911315/scores/7190034,"Monn-Iversen, Egil",https://no.wikipedia.org/wiki/Egil_Monn-Iversen,1928 - 2017,,Knut Andersen,,,,,,,,,,,"R. Westling, Stockholm",,,
,"Oh, Senorita",https://musescore.com/user/26911315/scores/12517579,"Morgan, Charles (Ragnar Westling)",https://sv.wikipedia.org/wiki/Ragnar_Westling,1899 - 1973,,"Henriksson, Alf",,,,1938,,,,,,,,,,
,Anne Mari,https://musescore.com/user/26911315/scores/7260642,"Mortensen, Harald",https://docplayer.dk/3294213-Harald-mortensen-medvirkede-i-den-af-holger-madsen-danskproducerede-stumfilm-himmelskibet-i-1918-i-en-rolle-som-telegrafist.html,1891 - 1970,,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,1904 - 1958,,1935,,,,,,,,,,
,Honeymoon-time,https://musescore.com/user/26911315/scores/7017563/s/Uf2js7,Mortimer,,,,H.A.,,,,1929,,"Komponist: Konsertmester i ""The Jazzers students""",,,,,,,,
,Den glade vandrer,https://musescore.com/user/26911315/scores/23490184,"Møller, Friedrich W.",https://obernkirchen48.com/friedrich-wilhelm-moeller/,1911 - 1993,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1954,,Omtale,https://no.wikipedia.org/wiki/Der_fr%C3%B6hliche_Wanderer,,,,Musikk-Huset Oslo,,1108,
,La meg få en rose,https://musescore.com/user/26911315/scores/7043720,"Mørk,Per",,1923 - 2013,,"Kaspersen, Gunnar",https://no.wikipedia.org/wiki/Gunnar_Kaspersen,1907 - 1991,,1945,,2den premie schlagerkonkuransen 1945,,,,,,,,
,Sønsteby'n,,"Mørk,Per",,1923 - 2013,,,,,,1924,,,,,,,Skandinavisk prodiksjon,,21,
x,Sjøsjarmøren,https://musescore.com/user/26911315/scores/7082010,"Naur, A.",,,,"Torleif Larssen (""Tola"")",,1899 - 1967,https://www.nb.no/items/c4f6d78cfc0129ada986940485ae433a?page=11&searchText=%22Torleif%20Larssen%22,1932,,,,,,,,,,
,En liten vals,https://musescore.com/user/26911315/scores/7015005,"Neshagen, Gudrun Schøyen",,,,"Neshagen, Gudrun Schøyen",,,,1947,,(Brudevalsen),,,,,Musikcentralen,,155,
,Sommerfuglen,https://musescore.com/user/26911315/scores/14963062,"Nicholls, Horatio",https://en.wikipedia.org/wiki/Lawrence_Wright_(composer),1888 - 1964,,"Kjær, Johan",,1867 - 1933,,1925,,Pseudonym for Lawrence Wright,,,,,Musikkhuset,,301,
,Fjellsangen,https://musescore.com/user/26911315/scores/7212555,"Nielsen, Adolf Kristoffer",https://no.wikipedia.org/wiki/Adolf_Kristoffer_Nielsen,1890 - 1960,,"Holger Sinding
Alfred Maurstad",,"1853 - 1929
1896 - 1967",,1939,,Fjellsangen,https://no.wikipedia.org/wiki/Fjellsangen,,,,Musikk-huset,,305,
,Byen vår,https://musescore.com/user/26911315/scores/7060819,"Nielsen, Adolf Kristoffer",https://no.wikipedia.org/wiki/Adolf_Kristoffer_Nielsen,1890 - 1960,,Einar Tveito,https://no.wikipedia.org/wiki/Einar_Tveito,1880 - 1958,,1940,,"Fra filmen ""Godvakker-Maren""",https://no.wikipedia.org/wiki/Godvakker-Maren,,,,Musikk-huset,,1689,
,Rheinlender,https://musescore.com/user/26911315/scores/25427608,"Nielsen, Adolf Kristoffer",https://no.wikipedia.org/wiki/Adolf_Kristoffer_Nielsen,1890 - 1960,,,,,,1939,,"Fra filmen ""Gjest Baardsen""",https://no.wikipedia.org/wiki/Gjest_Baardsen_(film),,,,Musikk-huset,,,
,Bakgårdsserenade,https://musescore.com/user/26911315/scores/7491797,"Nielsen, Otto",https://lokalhistoriewiki.no/wiki/Otto_Nielsen,1909 - 1981,,"Nielsen, Otto",https://lokalhistoriewiki.no/wiki/Otto_Nielsen,1909 - 1981,,1959,,"Fra filmen ""Veien tilbake""",https://no.wikipedia.org/wiki/Veien_tilbake_(1960),,,,Musikk-huset,,2001,
,Det har vi!,https://musescore.com/user/26911315/scores/25098670,"Nielsen, Otto",https://lokalhistoriewiki.no/wiki/Otto_Nielsen,1909 - 1981,,"Nielsen, Otto",https://lokalhistoriewiki.no/wiki/Otto_Nielsen,1909 - 1981,,1945,,,,,,,Musikkhuset,,268,
,Du skal få en dag i mårå,https://musescore.com/user/26911315/scores/15310627,"Nielsen, Otto",https://lokalhistoriewiki.no/wiki/Otto_Nielsen,1909 - 1981,,"Prøysen, Alf",https://no.wikipedia.org/wiki/Alf_Prøysen,1914 - 1970,,1971,,,,,,,,,,
,Grinimarsjen,https://musescore.com/user/26911315/scores/7015274,"Nielsen, Otto",https://lokalhistoriewiki.no/wiki/Otto_Nielsen,1909 - 1981,,"Nielsen, Otto",https://lokalhistoriewiki.no/wiki/Otto_Nielsen,1909 - 1981,,1945,,,,,,,,,,
,Hun kommer mot deg,https://musescore.com/user/26911315/scores/25092241,"Nielsen, Otto",https://lokalhistoriewiki.no/wiki/Otto_Nielsen,1909 - 1981,,"Nielsen, Otto",https://lokalhistoriewiki.no/wiki/Otto_Nielsen,1909 - 1981,,1945,,,,,,,Musikkhuset,,268,
,Udsigt fra Flöien,,"Nielsen, Thorvald",https://www.nb.no/items/ea7f0b25327a94e34464d8369e50d13e?page=35&searchText=%22Udsigt%20fra%20Fløien%22,1851 - 1920,,Henrik Jansen,,1877 - 1923,,1959?,,,,,,,Carl M. Iversen,,329,
,Maibruden,https://musescore.com/user/26911315/scores/7110279,"Nielson,Haakon B.",https://no.wikipedia.org/wiki/Haakon_B._Nielson,1906 - 1981,,Haakon B. Nielson,https://no.wikipedia.org/wiki/Haakon_B._Nielson,1906 - 1981,,1953,,,,,,,Norsk Musikforlag,,6875,
,Ved din lille seng,https://musescore.com/user/26911315/scores/7097638,"Nielson,Haakon B.",https://no.wikipedia.org/wiki/Haakon_B._Nielson,1906 - 1981,,Haakon B. Nielson,https://no.wikipedia.org/wiki/Haakon_B._Nielson,1906 - 1981,,1932,,,,,,,Thore Brækken,,,
,Trangen-marsj,https://musescore.com/user/26911315/scores/12296005,"Nilsen, Sverre",https://www.nb.no/items/2e440260c67e66a7237aa7619d1fa550?page=15&searchText=%22Sverre%20nilsen%20død%22,1918 - 1982,,,,,,1948,https://www.nb.no/items/3326df2981afdaedc6b5bb86a0db5b1f?page=1&searchText=%22Sverre%20Nilsen%20har%20komponert%22,Omtale,https://sv.wikipedia.org/wiki/Nordsjön_(sång),,,,Oscar Skau,,295,
x,Nordsjön,https://musescore.com/user/26911315/scores/7045282,"Nilsson, Martin",https://sv.wikipedia.org/wiki/Martin_Nilsson_(1890–1963),1890 - 1963,,"Nilsson, Martin",https://sv.wikipedia.org/wiki/Martin_Nilsson_(1890–1963),1890 - 1963,,1935,,Ikke tatt med revytekst (9 vers!),,,,,"Musikcentrums förlag, Stockholm",,54,
,Ifrån fädren har det kommit,https://musescore.com/user/26911315/scores/13186642,"Noiret, Louis",https://nl.wikipedia.org/wiki/Louis_Noiret,1896 - 1968,,"Carlberg, Berndt (Berco)",https://sv.wikipedia.org/wiki/Berndt_Carlberg,1892 - 1976,,1929,,<1924,,,,,Norsk Musikforlag,,6930,
,Sommerglæde,,Noralf Ravn-Talle,,? - 1968,,,,,,1936,,,,Fra Einar Økland,,,Eget forlag,,,
,Under den gyldne Solnedgang,https://musescore.com/user/26911315/scores/20328193/s/Bye4vK,"Nordby, Alf",,?,,,,,,ca 1930,,,,,,,,,,
,Glemte du,https://musescore.com/user/26911315/scores/7015271,"Nordgaard, Harald",,,,"Nordgaard, Harald",,,,,,,,,,,,,,
,Jubileumsmarsj A/S Sundt & Co,https://musescore.com/user/26911315/scores/10312414,"Norill, Arthur H.",,1894 - 1968,https://www.nb.no/items/899eeb42d2834e2a92d7827229956710?page=1&searchText=%22Arthur%20H.%20Norill%22,,,,,1945,,,,,,,,,,
x,Valse Romantique,https://musescore.com/user/26911315/scores/7097618,"Norløff, Per",,1926 – 2020,,Ulf Scott Christensen,,1921 – 2003,https://www.digitalarkivet.no/view/387/pc00000003232286,1945,,,,,,,Musikcentralen,,167,
,Toner fra Himlen,https://musescore.com/user/26911315/scores/7097488,"Normann Andersen, Kai",https://no.wikipedia.org/wiki/Kai_Normann_Andersen,1900 - 1967,,Børge Müller,https://da.wikipedia.org/wiki/Børge_Müller,1909 - 1963,,1927,,,,,,,,,,
x,Alle går rundt og forelsker sig,https://musescore.com/user/26911315/scores/6997721,"Normann Andersen, Kai",https://no.wikipedia.org/wiki/Kai_Normann_Andersen,1900 - 1967,,Børge Müller,https://da.wikipedia.org/wiki/Børge_Müller,1909 - 1963,,1941,,,,,,,,,,
,Jeg har forelsket mig,https://musescore.com/user/26911315/scores/7029995,"Normann Andersen, Kai",https://no.wikipedia.org/wiki/Kai_Normann_Andersen,1900 - 1967,,Børge Müller,https://da.wikipedia.org/wiki/Børge_Müller,1909 - 1963,,1949,,,,,,,Norsk Schlager-forlag,,,
,Stemningsmelodien,https://musescore.com/user/26911315/scores/7089968,"Normann Andersen, Kai",https://no.wikipedia.org/wiki/Kai_Normann_Andersen,1900 - 1967,,Børge Müller,https://da.wikipedia.org/wiki/Børge_Müller,1909 - 1963,,1945,,"Alias (""Hellinor"" og ""Tola"")",,,,,,,,
,Sossidi-valsen,https://musescore.com/user/26911315/scores/7087856,"Normann, Ralph",,,,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,,,,,,,,,,,
,Valse Amourette,https://musescore.com/user/26911315/scores/7097608,"Nygård, Oddvar",https://no.wikipedia.org/wiki/Oddvar_Nygaard,1919 - 1985,,,,,,1943,,Reklame for Concordia Canning Company.,,,,,,,,
,CCC Marsch,https://musescore.com/user/26911315/scores/8494373,"Næss, Erling",,1885 - 1957,,,,,,1913,,Omtale,https://www.nb.no/items/31a4c2b4a98edda92ee0c6773d8823e4?page=105&searchText=%22Når%20rosene%20blomstrer%20i%20mormors%20hage%22,,,,Carl M. Iversen,,148,
,Når rosene blomstrer i mormors hage,https://musescore.com/user/26911315/scores/10145386,"Ofstad, Kolbjørn",,1917 - 1996,,"Ofstad, Kolbjørn",,1917 - 1996,,1943,,Omtale,https://www.nb.no/items/31a4c2b4a98edda92ee0c6773d8823e4?page=105&searchText=%22Når%20rosene%20blomstrer%20i%20mormors%20hage%22,,,2,Carl M. Iversen,,149,
,Når byens lys blir tendt,https://musescore.com/user/26911315/scores/7045349,"Ofstad, Kolbjørn",,1917 - 1996,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1943,,,,,,,Carl M. Iversen,,208,
,Der midnattsolen flommer,https://musescore.com/user/26911315/scores/7825373,"Ofstad, Kolbjørn",,1917 - 1996,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1945?,,,,,,,,,,
,En liten lykkering,https://musescore.com/user/26911315/scores/7014997,"Ofstad, Kolbjørn",,1917 - 1996,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,,,,,,,,,,,
,Gatesangeren,https://musescore.com/user/26911315/scores/7015118,"Ofstad, Kolbjørn",,1917 - 1996,,John Elin,,,,,,,,,,,,,,
